Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Toyota,Vista,1995,Manual,Petrol,1830,3,"Rs. 3,050,000"
Suzuki,Wagon R Fx,2017,Automatic,Hybrid,650,108612,"Rs. 6,495,000"
Hyundai,Accent,2003,Manual,Petrol,1400,14000,"Rs. 23,500,000"
Toyota,Vitz KSP130,2015,Automatic,Petrol,1000,104250,"Rs. 7,295,000"
Suzuki,Alto,2014,Manual,Petrol,800,11111,"Rs. 3,195,000"
Toyota,AQUA X URBAN,2015,Automatic,Hybrid,1500,113000,"Rs. 8,890,000"
Nissan,Highway Star LAFESTA G,2013,Automatic,Petrol,2000,125000,"Rs. 9,490,000"
Mitsubishi,Lancer Box,1980,Manual,Petrol,1400,35000,"Rs. 900,000"
Toyota,Premio 260,2012,Automatic,Petrol,1500,128000,"Rs. 11,350,000"
Suzuki,Maruti,2005,Manual,Petrol,800,0,"Rs. 1,725,000"
Suzuki,Wagon R Stingray,2014,Automatic,Hybrid,650,76183,"Rs. 6,190,000"
Mitsubishi,C12,1985,Manual,Petrol,1490,350000,"Rs. 650,000"
Mercedes-Benz,E300 Bluetec,2014,Automatic,Hybrid,2143,55743,"Rs. 18,800,000"
Suzuki,Maruti EFI,2006,Manual,Petrol,800,69000,Negotiable
Honda,Fit Aria GD8 Japan,2008,Automatic,Petrol,1500,139000,"Rs. 5,395,000"
Toyota,Vitz,2018,Automatic,Petrol,990,33500,"Rs. 9,200,000"
Honda,Fit Gp1 Ge6,2009,Automatic,Petrol,1330,155200,"Rs. 6,375,000"
Toyota,Axio X Grade,2008,Automatic,Petrol,1500,190000,"Rs. 7,650,000"
Toyota,Camry,2008,Automatic,Petrol,2400,210000,Negotiable
Micro,Panda Cross,2014,Manual,Petrol,1300,64000,"Rs. 3,250,000"
Toyota,EE102,1996,Manual,Petrol,1300,0,"Rs. 25,750,000"
Mercedes-Benz,C200 AMG Premium,2019,Automatic,Petrol,1500,44500,"Rs. 27,500,000"
Toyota,AE90,1991,Manual,Petrol,-,0,"Rs. 1,875,000"
Toyota,Prius,2012,Automatic,Petrol,1800,145,Negotiable
Suzuki,Alto,2016,Manual,Petrol,800,87000,"Rs. 3,830,000"
Chevrolet,Cruze Gm Limited Edition,2005,Automatic,Petrol,1330,142000,"Rs. 4,395,000"
Isuzu,Gemini Jt600,1990,Manual,Diesel,-,0,"Rs. 800,000"
Chevrolet,Cruze GM,2004,Automatic,Petrol,1300,151000,"Rs. 4,390,000"
Mazda,RX-8 SE3P Highest Spec,2006,Automatic,Petrol,1300,0,"Rs. 6,500,000"
Nissan,FB15,2001,Manual,Diesel,-,0,"Rs. 3,850,000"
Tata,Indigo,2015,Manual,Petrol,1200,82000,"Rs. 3,050,000"
Hyundai,Accent,2000,Automatic,Petrol,1500,180000,"Rs. 2,690,000"
Suzuki,Alto,2015,Manual,Petrol,800,142000,"Rs. 3,775,000"
Toyota,Starlet,2000,Manual,Diesel,1450,191000,"Rs. 2,950,000"
Toyota,Axio X Grade,2014,Automatic,Hybrid,1500,108000,"Rs. 9,590,000"
Toyota,Premio,2014,Automatic,Petrol,-,-,"Rs. 13,400,000"
Suzuki,Alto,2015,Manual,Petrol,800,89000,"Rs. 3,690,000"
Fiat,Linea,2011,Manual,Petrol,1300,115000,"Rs. 3,290,000"
Mitsubishi,Lancer I Light,1973,Manual,Petrol,1400,-,Negotiable
Suzuki,Alto,2017,Manual,Petrol,800,90141,"Rs. 4,095,000"
Mitsubishi,Galant,2003,Manual,Petrol,1900,214000,"Rs. 3,990,000"
Toyota,Soluna GLI,2003,Automatic,Petrol,1300,189000,"Rs. 3,550,000"
Nissan,AD Wagon,1986,Manual,Petrol,1300,-,"Rs. 575,000"
Suzuki,Wagon R Stingray,2025,Automatic,Hybrid,650,-,"Rs. 11,650,000"
Toyota,Vitz,2015,Automatic,Petrol,1000,54985,"Rs. 7,650,000"
Honda,CIVIC EX,2018,Automatic,Petrol,1000,66000,"Rs. 13,800,000"
Toyota,Aqua S Grade,2013,Automatic,Hybrid,1500,136000,"Rs. 7,600,000"
Toyota,Premio 240,2003,Automatic,Petrol,1500,196000,"Rs. 6,990,000"
Nissan,HB11,1985,Manual,Petrol,1500,231133,"Rs. 1,350,000"
Honda,INSIGHT ZE2,2010,Automatic,Petrol,1330,189000,"Rs. 7,390,000"
Suzuki,Spacia Custom XS,2025,Automatic,Hybrid,658,-,"Rs. 11,900,000"
Nissan,March AK12,2007,Automatic,Petrol,1300,106000,"Rs. 4,625,000"
Toyota,Prius,2011,Automatic,Petrol,1800,189,Negotiable
Suzuki,Alto,2015,Manual,Petrol,800,100000,Negotiable
Toyota,Yaris,2011,Manual,Petrol,1300,124000,"Rs. 6,590,000"
Toyota,Prius S,2011,Automatic,Hybrid,1800,115900,"Rs. 9,975,000"
Toyota,DX Wagon Ke 74,1986,Manual,Petrol,1500,225000,Negotiable
Toyota,Vitz,2017,Automatic,Petrol,1000,76000,"Rs. 8,625,000"
Suzuki,Maruti,2009,Manual,Petrol,-,75000,"Rs. 2,095,000"
Mitsubishi,Lancer Box,1980,Manual,Petrol,1410,55,"Rs. 1,050,000"
Volkswagen,Jetta,1987,Manual,Petrol,1300,475000,"Rs. 790,000"
Suzuki,ALTO,2013,Manual,Petrol,800,140000,"Rs. 3,250,000"
Honda,Civic Ek3,1998,Manual,Diesel,1500,400000,"Rs. 3,600,000"
Mini,Cooper,1960,Manual,Petrol,1300,1,Rs. 1
Toyota,Corolla 121,2005,Automatic,Petrol,1500,172000,"Rs. 6,475,000"
Nissan,Bluebird,2008,Automatic,Petrol,1490,236000,"Rs. 7,175,000"
Honda,Honda,1990,Manual,Petrol,1500,130000,"Rs. 1,535,000"
Nissan,SB14,1999,Automatic,Diesel,20000,245125,"Rs. 2,750,000"
Toyota,Corona Premio,1999,Automatic,Petrol,1580,218383,"Rs. 4,750,000"
Toyota,Premio,2018,Automatic,Petrol,1490,84000,"Rs. 16,950,000"
Toyota,Premio,2013,Automatic,Petrol,1500,195000,"Rs. 12,600,000"
Toyota,Vitz Edition 2,2018,Automatic,Petrol,1000,54000,Negotiable
Toyota,Corona AT 150,1988,Manual,Petrol,1500,164752,Negotiable
Daihatsu,Mira,2023,Automatic,Petrol,650,0,Negotiable
Nissan,March,2007,Automatic,Petrol,1000,179000,"Rs. 3,390,000"
Hyundai,Accsent,2002,Automatic,Petrol,1500,202000,Negotiable
