Site,Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
ikman.lk,Tesla,Model 3,Special Spec,2024,Automatic,Electric,Saloon,,0," 34,500,000.00 ",No,#DIV/0!
ikman.lk,Chery ,Tiggo,,2014,Automatic,Petrol,Crossover,1600,"61,500.00"," 7,450,000.00 ",Yes, 121.14 
ikman.lk,Tesla,Model 3,,2024,Automatic,Electric,Saloon,,0," 34,500,000.00 ",No,#DIV/0!
ikman.lk,Mazda,3,,2016,Automatic,Petrol,Saloon,1600,"107,000.00"," 15,000,000.00 ",Yes, 140.19 
ikman.lk,Honda ,Grace,,2016,Automatic,Hybrid,Saloon,1500,"87,500.00"," 11,150,000.00 ",No, 127.43 
ikman.lk,Honda,Vezel,Z Play,2025,Automatic,Hybrid,SUV,1500,0," 24,400,000.00 ",No,#DIV/0!
ikman.lk,DFSK ,Glory,,2021,Automatic,Petrol,SUV,1500,"49,000.00"," 11,000,000.00 ",Yes, 224.49 
ikman.lk,Toyota ,Yaris,,2023,Automatic,Petrol,Hatchback,990,"6,128.00"," 10,590,000.00 ",No," 1,728.13 "
ikman.lk,BMW ,i7,,2024,Triptonic,Electric,Saloon,,0," 135,000,000.00 ",No,#DIV/0!
ikman.lk,Toyota ,Hilux,GR Sport,2024,Automatic,Diesel,Double Cab,2700,80," 31,900,000.00 ",Yes," 398,750.00 "
ikman.lk,Toyota,Land Cruiser Prado,LC250 ,2024,Automatic,Petrol,SUV,2700,"6,000.00"," 68,200,000.00 ",No," 11,366.67 "
ikman.lk,Ford,Mustang,EcoBoost Fastback,2025,Automatic,Petrol,Coupe,2300,0," 53,900,000.00 ",No,#DIV/0!
ikman.lk,Mercedes Benz,EQS 450,AMG Business Class,2024,Triptonic,Electric,SUV,,0," 115,000,000.00 ",No,#DIV/0!
ikman.lk,Honda ,Fit,GP1,2012,Automatic,Hybrid,Hatchback,1330,"190,000.00"," 6,795,000.00 ",Yes, 35.76 
ikman.lk,Perodua,Axia,,2015,Automatic,Petrol,Hatchback,998,"104,984.00"," 5,790,000.00 ",No, 55.15 
ikman.lk,Suzuki,Wagon R ,Stingray,2018,Automatic,Petrol,Hatchback,650,"77,000.00"," 7,150,000.00 ",No, 92.86 
ikman.lk,Toyota,Premio ,G Superior,2019,Automatic,Petrol,Saloon,1500,"105,000.00"," 19,000,000.00 ",No, 180.95 
ikman.lk,Toyota,Alphard,,2011,Automatic,Hybrid,MPV,2400,"175,000.00"," 19,500,000.00 ",No, 111.43 
ikman.lk,Honda,CRV,,2007,Automatic,Petrol,SUV,2400,"142,000.00"," 8,900,000.00 ",Yes, 62.68 
ikman.lk,Land Rover,Discovery,,2019,Automatic,Diesel,SUV,2000,"49,000.00"," 45,000,000.00 ",Yes, 918.37 
ikman.lk,Nissan ,Bluebird,Sylphy,2011,Automatic,Petrol,Saloon,1500,"140,000.00"," 6,750,000.00 ",No, 48.21 
ikman.lk,Toyota,Raize,Z,2024,Automatic,Hybrid,Crossover,1200,0.00," 16,990,000.00 ",Yes,#DIV/0!
ikman.lk,Audi,Q2,TFSI,2019,Triptonic,Petrol,Crossover,1000,"77,000.00"," 16,500,000.00 ",No, 214.29 
ikman.lk,Toyota,Land Cruiser Prado,TX,2015,Automatic,Diesel,SUV,3000,"173,000.00"," 45,500,000.00 ",Yes, 263.01 
ikman.lk,Toyota ,CHR,,2018,Automatic,Petrol,Crossover,1200,"36,000.00"," 15,500,000.00 ",Yes, 430.56 
ikman.lk,Hyundai,Tucson,CRDI,2012,Automatic,Diesel,SUV,2000,"135,000.00"," 7,650,000.00 ",No, 56.67 
ikman.lk,Ford,Ranger,StormTrak,2025,Triptonic,Diesel,Double Cab,2000,0.00," 31,900,000.00 ",Yes,#DIV/0!
ikman.lk,Toyota,Land Cruiser Prado,TX TRJ150,2023,Automatic,Petrol,SUV,2700,"13,300.00"," 57,500,000.00 ",No," 4,323.31 "
ikman.lk,Mercedes Benz,C200,AMG Line,2019,Automatic,Petrol,Saloon,1500,"44,500.00"," 27,500,000.00 ",No, 617.98 
ikman.lk,Honda ,CRV ,7 Seater,2018,Automatic,Petrol,SUV,1500,"74,000.00"," 19,950,000.00 ",No, 269.59 
ikman.lk,Honda ,Vezel,Z Grade,2025,Automatic,Petrol,Crossover,1500,0.00," 22,800,000.00 ",No,#DIV/0!
ikman.lk,Honda,Vezel,Z Grade,2025,Automatic,Hybrid,Crossover,1500,0.00," 22,600,000.00 ",No,#DIV/0!
ikman.lk,Hyundai,Venue ,,2019,Triptonic,Petrol,Crossover,1000,"55,000.00"," 9,700,000.00 ",Yes, 176.36 
ikman.lk,Suzuki,Baleno ,Turbo,2019,Automatic,Petrol,Hatchback,998,"66,000.00"," 8,500,000.00 ",Yes, 128.79 
ikman.lk,Mitsubishi ,Montero,GLS,2015,Automatic,Diesel,SUV,3200,"93,000.00"," 32,500,000.00 ",Yes, 349.46 
ikman.lk,Honda ,Vezel,Z Play,2025,Automatic,Hybrid,Crossover,1500,0.00," 24,975,000.00 ",Yes,#DIV/0!
ikman.lk,Toyota,Raize,Z,2024,Automatic,Hybrid,Crossover,1200,0.00," 16,990,000.00 ",Yes,#DIV/0!
ikman.lk,Nissan ,Qashqai,,2018,Automatic,Petrol,Crossover,1500,"57,000.00"," 15,000,000.00 ",Yes, 263.16 
ikman.lk,BMW ,i8,,2019,Automatic,Hybrid,Convertible ,1500,"20,550.00"," 45,800,000.00 ",Yes," 2,228.71 "
ikman.lk,Suzuki,Wagon R ,Stingray,2018,Automatic,Hybrid,Hatchback,650,"75,000.00"," 7,490,000.00 ",No, 99.87 
ikman.lk,Land Rover,Range Rover Sport,P400e,2018,Triptonic,Petrol,SUV,2000,"61,000.00"," 61,500,000.00 ",Yes," 1,008.20 "
ikman.lk,Maruti Suzuki,Zen,,2006,Manual,Petrol,Hatchback,1000,"113,783.00"," 1,985,000.00 ",Yes, 17.45 
ikman.lk,Honda ,Civic,,2017,Automatic,Petrol,Saloon,1000,"85,000.00"," 12,650,000.00 ",Yes, 148.82 
ikman.lk,Daihatsu,Mira,ES SA3,2023,Automatic,Petrol,Hatchback,650,"5,650.00"," 6,990,000.00 ",Yes," 1,237.17 "
ikman.lk,Suzuki,Wagon R ,FZ,2018,Automatic,Hybrid,Hatchback,650,"89,600.00"," 6,960,000.00 ",No, 77.68 
ikman.lk,BMW ,X5,Msport,2016,Automatic,Hybrid,Crossover,1998,"80,300.00"," 32,500,000.00 ",Yes, 404.73 
