Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Nissan,Wingroad,1999,Automatic,Petrol,1500,166000,2695000
Mini,COOPER,2004,Automatic,Petrol,1600,50000,7850000
Mitsubishi,EK Wagon,2015,Automatic,Petrol,660,101500,5900000
Austin,A30,1958,Manual,Petrol,1000,358745,620000
Toyota,Aqua Urban Limited,2015,Automatic,Hybrid,1500,1500,8825000
Toyota,Premio,2019,Automatic,Petrol,1500,49752,18975000
Suzuki,WAGON R CANERA STINGRAY,2017,Automatic,Petrol,660,52000,7495000
Suzuki,Maruti 800 EFI,2005,Manual,Petrol,800,98000,1840000
Suzuki,ALTO,2014,Manual,Petrol,800,111600,3650000
Suzuki,Alto,2013,Manual,Petrol,800,78300,3195000
Nissan,N16 Sunny,2002,Automatic,Petrol,1500,162000,4290000
Honda,Civic Tech Pack,2018,Automatic,Petrol,1000,65000,14290000
Suzuki,Wagon R Stingray,2018,Automatic,Petrol,650,93500,7680000
Suzuki,HUSTLER,2015,Automatic,Petrol,650,88000,6285000
Kia,Picanto,2017,Automatic,Petrol,1000,90000,5775000
Toyota,AQUA,2012,Automatic,Petrol,1500,120000,7150000
Mercedes-Benz,W115,1969,Manual,Diesel,2000,20000,590000
Toyota,COROLLA KE20,1973,Manual,Petrol,1200,290000,750000
